Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,46.0,,46.0,,60.0,,16.0,,27.0,,20.5
,,0.46,,0.46,,0.6,,0.16,,0.27,,0.205
1,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
2,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,1.5043671777978331,0.9862157056460868,0.8442991640416665,1.8354329653079706,2.107696141732284,3.51282690288714,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
3,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,2.6326425611462074,1.7258774848806513,1.4775235370729165,3.212007689288949,3.688468248031496,6.147447080052494,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
4,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
5,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,3.114864756006006,1.06107581087918,2.110747910104167,4.588582413269928,5.26924035433071,8.78206725721785,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
6,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
7,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,4.98378360960961,1.6977212974066893,3.377196656166666,7.3417318612318825,8.430784566929136,14.05130761154856,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
,5.537537344010676,1.509591696935195,3.377196656166666,7.3417318612318825,10.304292248468942,17.173820414114903,1.7635888572693483,11.022430357933427,6.13442339140427,22.72008663483063,17.3149,84.46292682926831
,5.537537344010676,1.509591696935195,3.377196656166666,7.3417318612318825,10.304292248468942,17.173820414114903,1.7635888572693483,11.022430357933427,6.13442339140427,22.72008663483063,17.3149,84.46292682926831
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
8,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
9,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,7.6141138480146795,2.0756885832858925,4.643645402229166,10.094881309193838,14.168401841644794,23.614003069407993,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
,9.690690352018684,2.641785469636598,5.910094148291666,12.848030757155795,18.032511434820645,30.054185724701075,3.0862805002213594,19.289253126383496,10.73524093495747,39.76015161095359,29.5372,144.0839024390244
10,9.690690352018684,2.641785469636598,5.910094148291666,12.848030757155795,18.032511434820645,30.054185724701075,3.0862805002213594,19.289253126383496,10.73524093495747,39.76015161095359,29.5372,144.0839024390244
,9.690690352018684,2.641785469636598,5.910094148291666,12.848030757155795,18.032511434820645,30.054185724701075,3.0862805002213594,19.289253126383496,10.73524093495747,39.76015161095359,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
11,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
12,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.237086799215882,0.9140179832635549,3.9400627655277782,8.565353838103865,18.360375279090118,30.6006254651502,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
13,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
,8.23708679921588,-0.9525471211174162,4.784361929569444,10.400786803411835,19.906019116360458,33.17669852726743,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
