Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39852,,5.381878019688349,,19.239219999999996,,10.352008333333332,,6.644083154912495,,13.695177922351851,,0.020390770399999997,,40.03999999999999,,650.2241200044892
2,8,39859,,5.381878019688349,,19.239219999999996,,10.352008333333332,,6.644083154912495,,13.695177922351851,,0.020390770399999997,,40.03999999999999,,650.2241200044892
3,15,39866,,25.838591574240855,,19.239219999999996,,23.8238,,15.290492740072592,,31.517669739111106,,0.036703466799999994,,40.03999999999999,,1133.4669008486057
4,22,39873,,25.838591574240855,,19.239219999999996,,23.8238,,15.290492740072592,,31.517669739111106,,0.0489376888,,40.03999999999999,,1133.4669008486057
5,29,39880,,31.866057327556085,,13.231479130434781,,25.667365056666657,,16.47372203660853,,33.956612082422645,,0.0489376888,,40.03999999999999,,1147.5178517995278
6,36,39887,,29.974735280923383,,13.231479130434781,,29.61615990666666,,19.008121208275572,,39.180665841680316,,0.0693288596,,40.03999999999999,,1240.2613927147931
7,43,39894,,29.974735280923383,,13.231479130434781,,29.61615990666666,,19.008121208275572,,39.180665841680316,,0.0693288596,,40.03999999999999,,1240.2613927147931
8,50,39901,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.09379770399999998,,40.03999999999999,,1263.2809364046407
9,57,39908,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.09379770399999998,,40.03999999999999,,1263.2809364046407
10,64,39915,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.11826694879999998,,40.03999999999999,,1263.2809364046407
11,71,39922,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.11826694879999998,,40.03999999999999,,1263.2809364046407
12,78,39929,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.11826694879999998,,40.03999999999999,,1263.2809364046407
13,85,39936,,18.523450155252554,,13.231479130434781,,33.16987673999999,,21.28895304200306,,43.882051577764386,,0.1427357932,,40.03999999999999,,1263.2809364046407
